date	status	zdf_url	returned_date	title
17.07.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-17-juli-2024-100	20240717	Der Talk vom 17. Juli
18.07.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-18-juli-2024-100	20240718	Der Talk vom 18. Juli
23.07.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-23-juli-2024-100	20240723	Der Talk vom 23. Juli
24.07.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-24-juli-2024-100	20240724	Der Talk vom 24. Juli
25.07.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-25-juli-2024-100	20240725	Der Talk vom 25. Juli
28.08.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-28-august-2024-100	20240828	Der Talk vom 28. August
29.08.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-29-august-2024-100	20240829	Der Talk vom 29. August
04.09.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-4-september-2024-100	20240904	Der Talk vom 4. September
05.09.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-5-september-2024-100	20240905	Der Talk vom 5. September 
12.09.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-12-september-2024-100	20240912	Der Talk vom 12. September
18.09.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-18-september-2024-100	20240918	Der Talk vom 18. September
24.09.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-24-september-2024-100	20240924	Der Talk vom 24. September 
02.10.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-3-oktober-2024-102	20241002	Der Talk vom 2. Oktober
03.10.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-3-oktober-2024-100	20241003	Der Talk vom 3. Oktober
09.10.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-9-oktober-2024-100	20241009	Der Talk vom 9. Oktober
15.10.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-15-oktober-2024-100	20241015	Der Talk vom 15. Oktober
22.10.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-22-oktober-2024-100	20241022	Der Talk vom 22. Oktober
23.10.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-23-oktober-2024-100	20241023	Der Talk vom 23. Oktober
24.10.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-24-oktober-2024-102	20241024	Der Talk vom 24. Oktober
29.10.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-29-oktober-2024-100	20241029	Der Talk vom 29. Oktober
30.10.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-30-oktober-2024-100	20241030	Der Talk vom 30. Oktober
06.11.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-6-november-2024-100	20241106	Der Talk vom 6. November
14.11.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-14-november-2024-100	20241114	Der Talk vom 14. November
03.12.2024	OK	https://www.zdf.de/video/talk/markus-lanz-114/markus-lanz-vom-3-dezember-2024-100	20241203	Der Talk vom 3. Dezember
